Item,Condition,TargetPos,GEP_start,GEP_end,Sentence,Question,Correct,Incorrect,Adj1,Adj2
1,OLD-NOCON,7,3,10,"The table that is big, round, dirty and very heavy can hold three people, according to the server.",,,,big,dirty
1,OLD-CON,7,3,10,"The table that is clean, round, dirty and very heavy can hold three people, according to the server.",,,,clean,dirty
1,NEW-NOCON,11,3,7,"The table that can hold three people is big, round, dirty and very heavy, according to the server. ",,,,big,dirty
1,NEW-CON,11,3,7,"The table that can hold three people is clean, round, dirty and very heavy, according to the server. ",,,,clean,dirty
2,OLD-NOCON,7,3,10,"The neighborhood that is old, urban, dangerous and very diverse is close to the river, according to the resident.",,,,old,dangerous
2,OLD-CON,7,3,10,"The neighborhood that is safe, urban, dangerous and very diverse is close to the river, according to the resident.",,,,safe,dangerous
2,NEW-NOCON,12,3,8,"The neighborhood that is close to the river is old, urban, dangerous and very diverse, according to the resident.",,,,old,dangerous
2,NEW-CON,12,3,8,"The neighborhood that is close to the river is safe, urban, dangerous and very diverse, according to the resident.",,,,safe,dangerous
3,OLD-NOCON,7,3,10,"The cat that is old, ginger, sick and very thin was found wandering the street, according to the shelter.",,,,old,sick
3,OLD-CON,7,3,10,"The cat that is healthy, ginger, sick and very thin was found wandering the street, according to the shelter.",,,,healthy,sick
3,NEW-NOCON,12,3,8,"The cat that was found wandering the street is old, ginger, sick and very thin, according to the shelter.",,,,old,sick
3,NEW-CON,12,3,8,"The cat that was found wandering the street is healthy, ginger, sick and very thin, according to the shelter.",,,,healthy,sick
4,OLD-NOCON,7,3,10,"The towel that is clean, white, wet and very thick was left on the bathroom floor, according to the guest.",,,,clean,wet
4,OLD-CON,7,3,10,"The towel that is dry, white, wet and very thick was left on the bathroom floor, according to the guest.",,,,dry,wet
4,NEW-NOCON,13,3,9,"The towel that was left on the bathroom floor is clean, white, wet and very thick, according to the guest.",,,,clean,wet
4,NEW-CON,13,3,9,"The towel that was left on the bathroom floor is dry, white, wet and very thick, according to the guest.",,,,dry,wet
5,OLD-NOCON,7,3,10,"The egg that is small, fresh, cracked and very fragile was taken from the carton, according to the chef.",,,,small,cracked
5,OLD-CON,7,3,10,"The egg that is whole, fresh, cracked and very fragile was taken from the carton, according to the chef.",,,,whole,cracked
5,NEW-NOCON,12,3,8,"The egg that was taken from the carton is small, fresh, cracked and very fragile, according to the chef.",,,,small,cracked
5,NEW-CON,12,3,8,"The egg that was taken from the carton is whole, fresh, cracked and very fragile, according to the chef.",,,,whole,cracked
6,OLD-NOCON,7,3,10,"The dog that is tired, large, hungry and very loud was lying by the fireplace, according to the owner.",,,,tired,hungry
6,OLD-CON,7,3,10,"The dog that is full, large, hungry and very loud was lying by the fireplace, according to the owner.",,,,satiated,hungry
6,NEW-NOCON,12,3,8,"The dog that was lying by the fireplace is tired, large, hungry and very loud, according to the owner. ",,,,tired,hungry
6,NEW-CON,12,3,8,"The dog that was lying by the fireplace is full, large, hungry and very loud, according to the owner. ",,,,satiated,hungry
7,OLD-NOCON,7,3,10,"The road that is narrow, long, curved and very steep cuts through the mountain, according to the driver.",,,,narrow,curved
7,OLD-CON,7,3,10,"The road that is straight, long, curved and very steep cuts through the mountain, according to the driver.",,,,straight,curved
7,NEW-NOCON,11,3,7,"The road that cuts through the mountain is narrow, long, curved and very steep, according to the driver. ",,,,narrow,curved
7,NEW-CON,11,3,7,"The road that cuts through the mountain is straight, long, curved and very steep, according to the driver. ",,,,straight,curved
8,OLD-NOCON,7,3,10,"The shop that is small, local, open and very quiet sits on the corner, according to the postman.",,,,small,open
8,OLD-CON,7,3,10,"The shop that is closed, local, open and very quiet sits on the corner, according to the postman.",,,,closed,open
8,NEW-NOCON,11,3,7,"The shop that sits on the corner is small, local, open and very quiet, according to the postman.",,,,small,open
